label,network,n,k,pr,m,gamma,rep,fitness,p1,p2,tau,burn_per_node,measure_per_node
BA m=5,ba,500,,,5,0.26,2,0.00013045,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.32,0,0.000129015,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.32,1,0.000131755,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.32,2,0.00013194999999999998,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.38,0,0.000133835,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.38,1,0.00013114,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.38,2,0.00013284,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.44,0,0.00012354,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.44,1,0.00012586999999999999,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.44,2,0.000124085,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.5,0,0.000116545,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.5,1,0.000115045,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.5,2,0.000116935,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.56,0,0.000108175,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.56,1,0.000104535,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.56,2,0.000104955,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.62,0,8.919e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.62,1,9.4145e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.62,2,9.0935e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.6799999999999999,0,7.3755e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.6799999999999999,1,7.418e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.6799999999999999,2,7.9645e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.74,0,5.9645e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.74,1,6.098e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.74,2,5.7039999999999996e-05,0.02,0.85,0.01,100,100
BA m=5,ba,500,,,5,0.8,0,4.1725e-05,0.02,0.85,0.01,100,100
